2.22966	2920	4380
2.34408	4380	5840
2.36095	5840	7300
2.46788	7300	8760
2.4814	8760	10220
2.56732	10220	11680
2.57611	11680	13140
2.58553	13140	14600
2.5918	14600	16060
2.60111	16060	17520
2.60678	17520	18980
2.67822	18980	20440
2.69582	20440	21900
2.71152	21900	23360
2.72383	23360	24820
2.73021	24820	26280
2.73967	26280	27740
2.74528	27740	29200
2.75615	29200	30660
2.78081	30660	32120
2.79605	32120	33580
2.80675	33580	35040
2.82342	35040	36500
2.8293	36500	37960
2.84558	37960	39420
2.85498	39420	40880
2.86058	40880	42340
2.87661	42340	43800
2.89146	43800	45260
2.90923	45260	46720
2.92266	46720	48180
2.9421	48180	49640
2.95806	49640	51100
2.96916	51100	52560
2.97523	52560	54020
2.98898	54020	55480
3.00088	55480	56940
3.02127	56940	58400
3.04009	58400	59860
3.05483	59860	61320
3.07109	61320	62780
3.08279	62780	64240
3.10186	64240	65700
3.11899	65700	67160
3.12476	67160	46720
3.21579	46720	45260
3.22692	45260	43800
3.2329	43800	42340
3.24196	42340	40880
3.24874	40880	39420
3.25628	39420	37960
3.26151	37960	36500
3.26283	36500	35040
3.27621	35040	33580
3.28537	33580	32120
3.29208	32120	30660
3.3167	30660	29200
3.33526	29200	27740
3.33691	27740	26280
3.35544	26280	24820
3.35822	24820	23360
3.37445	23360	21900
3.38225	21900	20440
3.3831	20440	18980
3.40508	18980	17520
3.53801	17520	18980
3.63205	18980	20440
3.73987	20440	21900
3.84101	21900	23360
3.95615	23360	24820
4.0591	24820	26280
4.16649	26280	27740
